Time,WW,WH,WR,WB,HH,HR,HB,RR,RB,BB
1,77,0,0,0,0,0,0,0,0,0
2,78,0,0,0,0,0,0,0,0,0
3,90,0,0,0,0,0,0,0,0,0
4,66,0,0,0,0,0,0,0,0,0
5,85,0,0,0,0,0,0,0,0,0
6,94,0,0,0,0,0,0,0,0,0
7,86,0,0,0,0,0,0,0,0,0
8,84,0,0,0,0,0,0,0,0,0
9,84,0,0,0,0,0,0,0,0,0
10,108,0,0,0,0,0,0,0,0,0
11,81,0,0,0,0,0,0,0,0,0
12,80,0,0,0,0,0,0,0,0,0
13,87,0,0,0,0,0,0,0,0,0
14,89,0,0,0,0,0,0,0,0,0
15,93,0,0,0,0,0,0,0,0,0
16,90,0,0,0,0,0,0,0,0,0
17,101,0,0,0,0,0,0,0,0,0
18,83,0,0,0,0,0,0,0,0,0
19,87,0,0,0,0,0,0,0,0,0
20,82,0,0,0,0,0,0,0,0,0
21,88,0,0,0,0,0,0,0,0,0
22,86,0,0,0,0,0,0,0,0,0
23,88,0,0,0,0,0,0,0,0,0
24,68,0,0,0,0,0,0,0,0,0
25,83,0,0,0,0,0,0,0,0,0
26,102,0,0,0,0,0,0,0,0,0
27,76,0,0,0,0,0,0,0,0,0
28,91,0,0,0,0,0,0,0,0,0
29,88,0,0,0,0,0,0,0,0,0
30,89,0,0,0,0,0,0,0,0,0
31,101,0,0,0,0,0,0,0,0,0
32,83,0,0,0,0,0,0,0,0,0
33,86,0,0,0,0,0,0,0,0,0
34,93,0,0,0,0,0,0,0,0,0
35,84,0,0,0,0,0,0,0,0,0
36,90,0,0,0,0,0,0,0,0,0
37,69,0,0,0,0,0,0,0,0,0
38,76,0,0,0,0,0,0,0,0,0
39,72,0,0,0,0,0,0,0,0,0
40,96,0,0,0,0,0,0,0,0,0
41,71,0,0,0,0,0,0,0,0,0
42,66,0,0,0,0,0,0,0,0,0
43,93,0,0,0,0,0,0,0,0,0
44,70,0,0,0,0,0,0,0,0,0
45,84,0,0,0,0,0,0,0,0,0
46,97,0,0,0,0,0,0,0,0,0
47,77,0,0,0,0,0,0,0,0,0
48,84,0,0,0,0,0,0,0,0,0
49,87,0,0,0,0,0,0,0,0,0
50,86,0,0,0,0,0,0,0,0,0
51,92,0,0,0,0,0,0,0,0,0
52,85,0,0,0,0,0,0,0,0,0
53,69,0,0,0,0,0,0,0,0,0
54,81,0,0,0,0,0,0,0,0,0
55,93,0,0,0,0,0,0,0,0,0
56,81,0,0,0,0,0,0,0,0,0
57,75,0,0,0,0,0,0,0,0,0
58,88,0,0,0,0,0,0,0,0,0
59,83,0,0,0,0,0,0,0,0,0
