Time,WW,WH,WR,WB,HH,HR,HB,RR,RB,BB
1,89,0,0,0,0,0,0,0,0,0
2,97,0,0,0,0,0,0,0,0,0
3,93,0,0,0,0,0,0,0,0,0
4,82,0,0,0,0,0,0,0,0,0
5,98,0,0,0,0,0,0,0,0,0
6,106,0,0,0,0,0,0,0,0,0
7,88,0,0,0,0,0,0,0,0,0
8,95,0,0,0,0,0,0,0,0,0
9,116,0,0,0,0,0,0,0,0,0
10,102,0,0,0,0,0,0,0,0,0
11,112,0,0,0,0,0,0,0,0,0
12,101,0,0,0,0,0,0,0,0,0
13,86,0,0,0,0,0,0,0,0,0
14,95,0,0,0,0,0,0,0,0,0
15,102,0,0,0,0,0,0,0,0,0
16,117,0,0,0,0,0,0,0,0,0
17,99,0,0,0,0,0,0,0,0,0
18,84,0,0,0,0,0,0,0,0,0
19,85,0,0,0,0,0,0,0,0,0
20,110,0,0,0,0,0,0,0,0,0
21,111,0,0,0,0,0,0,0,0,0
22,103,0,0,0,0,0,0,0,0,0
23,104,0,0,0,0,0,0,0,0,0
24,101,0,0,0,0,0,0,0,0,0
25,98,0,0,0,0,0,0,0,0,0
26,104,0,0,0,0,0,0,0,0,0
27,101,0,0,0,0,0,0,0,0,0
28,92,0,0,0,0,0,0,0,0,0
29,112,0,0,0,0,0,0,0,0,0
30,94,0,0,0,0,0,0,0,0,0
31,87,0,0,0,0,0,0,0,0,0
32,104,0,0,0,0,0,0,0,0,0
33,110,0,0,0,0,0,0,0,0,0
34,65,0,0,0,0,0,0,0,0,0
35,78,0,0,0,0,0,0,0,0,0
36,88,0,0,0,0,0,0,0,0,0
37,95,0,0,0,0,0,0,0,0,0
38,94,0,0,0,0,0,0,0,0,0
39,109,0,0,0,0,0,0,0,0,0
40,99,0,0,0,0,0,0,0,0,0
41,96,0,0,0,0,0,0,0,0,0
42,120,0,0,0,0,0,0,0,0,0
43,106,0,0,0,0,0,0,0,0,0
44,93,0,0,0,0,0,0,0,0,0
45,88,0,0,0,0,0,0,0,0,0
46,102,0,0,0,0,0,0,0,0,0
47,85,0,0,0,0,0,0,0,0,0
48,112,0,0,0,0,0,0,0,0,0
49,92,0,0,0,0,0,0,0,0,0
50,86,0,0,0,0,0,0,0,0,0
51,103,0,0,0,0,0,0,0,0,0
52,111,0,0,0,0,0,0,0,0,0
53,90,0,0,0,0,0,0,0,0,0
54,106,0,0,0,0,0,0,0,0,0
55,94,0,0,0,0,0,0,0,0,0
56,91,0,0,0,0,0,0,0,0,0
57,107,0,0,0,0,0,0,0,0,0
58,88,0,0,0,0,0,0,0,0,0
59,88,0,0,0,0,0,0,0,0,0
60,90,0,0,0,0,0,0,0,0,0
61,108,0,0,0,0,0,0,0,0,0
62,91,0,0,0,0,0,0,0,0,0
63,102,0,0,0,0,0,0,0,0,0
64,99,0,0,0,0,0,0,0,0,0
65,100,0,0,0,0,0,0,0,0,0
66,89,0,0,0,0,0,0,0,0,0
67,94,0,0,0,0,0,0,0,0,0
68,115,0,0,0,0,0,0,0,0,0
69,97,0,0,0,0,0,0,0,0,0
70,109,0,0,0,0,0,0,0,0,0
71,93,0,0,0,0,0,0,0,0,0
72,91,0,0,0,0,0,0,0,0,0
73,83,0,0,0,0,0,0,0,0,0
74,99,0,0,0,0,0,0,0,0,0
75,97,0,0,0,0,0,0,0,0,0
76,104,0,0,0,0,0,0,0,0,0
77,108,0,0,0,0,0,0,0,0,0
78,87,0,0,0,0,0,0,0,0,0
79,92,0,0,0,0,0,0,0,0,0
80,87,0,0,0,0,0,0,0,0,0
81,92,0,0,0,0,0,0,0,0,0
82,95,0,0,0,0,0,0,0,0,0
83,90,0,0,0,0,0,0,0,0,0
