Time,WW,WH,WR,WB,HH,HR,HB,RR,RB,BB
1,99,0,0,0,0,0,0,0,0,0
2,113,0,0,0,0,0,0,0,0,0
3,110,0,0,0,0,0,0,0,0,0
4,93,0,0,0,0,0,0,0,0,0
5,93,0,0,0,0,0,0,0,0,0
6,80,0,0,0,0,0,0,0,0,0
7,95,0,0,0,0,0,0,0,0,0
8,98,0,0,0,0,0,0,0,0,0
9,81,0,0,0,0,0,0,0,0,0
10,94,0,0,0,0,0,0,0,0,0
11,95,0,0,0,0,0,0,0,0,0
12,108,0,0,0,0,0,0,0,0,0
13,120,0,0,0,0,0,0,0,0,0
14,106,0,0,0,0,0,0,0,0,0
15,100,0,0,0,0,0,0,0,0,0
16,85,0,0,0,0,0,0,0,0,0
17,109,0,0,0,0,0,0,0,0,0
18,105,0,0,0,0,0,0,0,0,0
19,104,0,0,0,0,0,0,0,0,0
20,90,0,0,0,0,0,0,0,0,0
21,102,0,0,0,0,0,0,0,0,0
22,91,0,0,0,0,0,0,0,0,0
23,71,0,0,0,0,0,0,0,0,0
24,103,0,0,0,0,0,0,0,0,0
25,102,0,0,0,0,0,0,0,0,0
26,81,0,0,0,0,0,0,0,0,0
27,107,0,0,0,0,0,0,0,0,0
28,94,0,0,0,0,0,0,0,0,0
29,113,0,0,0,0,0,0,0,0,0
30,113,0,0,0,0,0,0,0,0,0
31,92,0,0,0,0,0,0,0,0,0
32,105,0,0,0,0,0,0,0,0,0
33,103,0,0,0,0,0,0,0,0,0
34,90,0,0,0,0,0,0,0,0,0
35,98,0,0,0,0,0,0,0,0,0
36,108,0,0,0,0,0,0,0,0,0
37,95,0,0,0,0,0,0,0,0,0
38,98,0,0,0,0,0,0,0,0,0
39,108,0,0,0,0,0,0,0,0,0
40,96,0,0,0,0,0,0,0,0,0
41,93,0,0,0,0,0,0,0,0,0
42,99,0,0,0,0,0,0,0,0,0
43,83,0,0,0,0,0,0,0,0,0
44,98,0,0,0,0,0,0,0,0,0
45,95,0,0,0,0,0,0,0,0,0
46,96,0,0,0,0,0,0,0,0,0
47,92,0,0,0,0,0,0,0,0,0
48,102,0,0,0,0,0,0,0,0,0
49,95,0,0,0,0,0,0,0,0,0
50,91,0,0,0,0,0,0,0,0,0
51,99,0,0,0,0,0,0,0,0,0
52,102,0,0,0,0,0,0,0,0,0
53,101,0,0,0,0,0,0,0,0,0
54,101,0,0,0,0,0,0,0,0,0
55,92,0,0,0,0,0,0,0,0,0
56,92,0,0,0,0,0,0,0,0,0
57,84,0,0,0,0,0,0,0,0,0
58,96,0,0,0,0,0,0,0,0,0
59,86,0,0,0,0,0,0,0,0,0
60,111,0,0,0,0,0,0,0,0,0
61,88,0,0,0,0,0,0,0,0,0
62,119,0,0,0,0,0,0,0,0,0
63,95,0,0,0,0,0,0,0,0,0
64,91,0,0,0,0,0,0,0,0,0
65,109,0,0,0,0,0,0,0,0,0
66,90,0,0,0,0,0,0,0,0,0
