Time,WW,WH,WR,WB,HH,HR,HB,RR,RB,BB
1,102,0,0,0,0,0,0,0,0,0
2,91,0,0,0,0,0,0,0,0,0
3,103,0,0,0,0,0,0,0,0,0
4,112,0,0,0,0,0,0,0,0,0
5,84,0,0,0,0,0,0,0,0,0
6,111,0,0,0,0,0,0,0,0,0
7,109,0,0,0,0,0,0,0,0,0
8,92,0,0,0,0,0,0,0,0,0
9,101,0,0,0,0,0,0,0,0,0
10,109,0,0,0,0,0,0,0,0,0
11,97,0,0,0,0,0,0,0,0,0
12,100,0,0,0,0,0,0,0,0,0
13,98,0,0,0,0,0,0,0,0,0
14,88,0,0,0,0,0,0,0,0,0
15,99,0,0,0,0,0,0,0,0,0
16,92,0,0,0,0,0,0,0,0,0
17,94,0,0,0,0,0,0,0,0,0
18,102,0,0,0,0,0,0,0,0,0
19,110,0,0,0,0,0,0,0,0,0
20,89,0,0,0,0,0,0,0,0,0
21,95,0,0,0,0,0,0,0,0,0
22,98,0,0,0,0,0,0,0,0,0
23,108,0,0,0,0,0,0,0,0,0
24,104,0,0,0,0,0,0,0,0,0
25,109,0,0,0,0,0,0,0,0,0
26,94,0,0,0,0,0,0,0,0,0
27,106,0,0,0,0,0,0,0,0,0
28,94,0,0,0,0,0,0,0,0,0
29,111,0,0,0,0,0,0,0,0,0
30,97,0,0,0,0,0,0,0,0,0
31,90,0,0,0,0,0,0,0,0,0
32,103,0,0,0,0,0,0,0,0,0
33,103,0,0,0,0,0,0,0,0,0
34,97,0,0,0,0,0,0,0,0,0
35,110,0,0,0,0,0,0,0,0,0
36,83,0,0,0,0,0,0,0,0,0
37,101,0,0,0,0,0,0,0,0,0
38,89,0,0,0,0,0,0,0,0,0
39,99,0,0,0,0,0,0,0,0,0
40,74,0,0,0,0,0,0,0,0,0
41,90,0,0,0,0,0,0,0,0,0
42,81,0,0,0,0,0,0,0,0,0
43,102,0,0,0,0,0,0,0,0,0
44,99,0,0,0,0,0,0,0,0,0
45,75,0,0,0,0,0,0,0,0,0
46,74,0,0,0,0,0,0,0,0,0
47,88,0,0,0,0,0,0,0,0,0
48,109,0,0,0,0,0,0,0,0,0
49,95,0,0,0,0,0,0,0,0,0
50,100,0,0,0,0,0,0,0,0,0
51,81,0,0,0,0,0,0,0,0,0
52,112,0,0,0,0,0,0,0,0,0
53,89,0,0,0,0,0,0,0,0,0
54,91,0,0,0,0,0,0,0,0,0
55,82,0,0,0,0,0,0,0,0,0
56,83,0,0,0,0,0,0,0,0,0
57,90,0,0,0,0,0,0,0,0,0
58,98,0,0,0,0,0,0,0,0,0
59,85,0,0,0,0,0,0,0,0,0
60,94,0,0,0,0,0,0,0,0,0
61,85,0,0,0,0,0,0,0,0,0
62,101,0,0,0,0,0,0,0,0,0
63,84,0,0,0,0,0,0,0,0,0
64,91,0,0,0,0,0,0,0,0,0
65,105,0,0,0,0,0,0,0,0,0
66,83,0,0,0,0,0,0,0,0,0
67,99,0,0,0,0,0,0,0,0,0
68,108,0,0,0,0,0,0,0,0,0
69,105,0,0,0,0,0,0,0,0,0
70,97,0,0,0,0,0,0,0,0,0
71,99,0,0,0,0,0,0,0,0,0
72,83,0,0,0,0,0,0,0,0,0
73,87,0,0,0,0,0,0,0,0,0
74,105,0,0,0,0,0,0,0,0,0
75,95,0,0,0,0,0,0,0,0,0
76,83,0,0,0,0,0,0,0,0,0
77,105,0,0,0,0,0,0,0,0,0
78,87,0,0,0,0,0,0,0,0,0
79,101,0,0,0,0,0,0,0,0,0
80,98,0,0,0,0,0,0,0,0,0
81,98,0,0,0,0,0,0,0,0,0
82,92,0,0,0,0,0,0,0,0,0
83,95,0,0,0,0,0,0,0,0,0
84,92,0,0,0,0,0,0,0,0,0
85,95,0,0,0,0,0,0,0,0,0
86,107,0,0,0,0,0,0,0,0,0
87,94,0,0,0,0,0,0,0,0,0
88,100,0,0,0,0,0,0,0,0,0
89,94,0,0,0,0,0,0,0,0,0
90,99,0,0,0,0,0,0,0,0,0
91,99,0,0,0,0,0,0,0,0,0
92,96,0,0,0,0,0,0,0,0,0
93,102,0,0,0,0,0,0,0,0,0
94,104,0,0,0,0,0,0,0,0,0
95,98,0,0,0,0,0,0,0,0,0
96,106,0,0,0,0,0,0,0,0,0
97,80,0,0,0,0,0,0,0,0,0
98,94,0,0,0,0,0,0,0,0,0
99,100,0,0,0,0,0,0,0,0,0
100,104,0,0,0,28,0,0,0,0,0
101,86,0,0,0,18,0,0,0,0,0
102,108,0,0,0,16,0,0,0,0,0
103,107,0,0,0,16,0,0,0,0,0
104,85,0,0,0,4,0,0,0,0,0
105,85,0,0,0,18,0,0,0,0,0
106,88,0,0,0,9,0,0,0,0,0
107,106,0,0,0,9,0,0,0,0,0
108,96,0,0,0,5,0,0,0,0,0
109,110,0,0,0,2,0,0,0,0,0
110,111,0,0,0,5,0,0,0,0,0
111,90,0,0,0,7,0,0,0,0,0
112,102,0,0,0,10,0,0,0,0,0
113,90,0,0,0,3,0,0,0,0,0
114,95,0,0,0,3,0,0,0,0,0
115,76,0,0,0,4,0,0,0,0,0
116,81,0,0,0,3,0,0,0,0,0
117,103,0,0,0,2,0,0,0,0,0
118,100,0,0,0,3,0,0,0,0,0
119,78,0,0,0,7,0,0,0,0,0
120,88,0,0,0,6,0,0,0,0,0
121,92,1,0,0,6,0,0,0,0,0
122,93,2,0,0,3,0,0,0,0,0
123,79,3,0,0,2,0,0,0,0,0
