Time,WW,WH,WR,WB,HH,HR,HB,RR,RB,BB
106,99,0,0,0,8,0,0,0,0,0
107,90,0,0,0,19,0,0,0,0,0
108,97,0,0,0,6,0,0,0,0,0
109,91,0,0,0,11,0,0,0,0,0
110,95,0,0,0,6,0,0,0,0,0
111,88,0,0,0,6,0,0,0,0,0
112,92,0,0,0,3,0,0,0,0,0
113,96,0,0,0,6,0,0,0,0,0
114,88,0,0,0,9,0,0,0,0,0
115,85,0,0,0,7,0,0,0,0,0
116,91,0,0,0,3,0,0,0,0,0
117,92,0,0,0,5,0,0,0,0,0
118,85,0,0,0,6,0,0,0,0,0
119,100,0,0,0,2,0,0,0,0,0
120,107,0,0,0,2,0,0,0,0,0
121,93,2,0,0,1,0,0,0,0,0
122,99,2,0,0,2,0,0,0,0,0
123,96,5,0,0,1,0,0,0,0,0
124,80,6,0,0,2,0,0,0,0,0
125,85,9,0,0,3,0,0,0,0,0
126,80,3,0,0,2,0,0,0,0,0
127,104,7,0,0,2,0,0,0,0,0
128,85,9,0,0,0,0,0,0,0,0
129,83,8,0,0,1,0,0,0,0,0
130,92,8,0,0,0,0,0,0,0,0
131,108,8,0,0,0,0,0,0,0,0
132,93,11,0,0,0,0,0,0,0,0
133,87,7,0,0,2,0,0,0,0,0
134,103,11,0,0,2,0,0,0,0,0
135,84,12,0,0,2,0,0,0,0,0
136,84,13,0,0,2,0,0,0,0,0
137,94,8,0,0,1,0,0,0,0,0
138,100,13,0,0,2,0,0,0,0,0
139,75,13,0,0,0,0,0,0,0,0
140,88,13,0,0,1,0,0,0,0,0
141,104,12,0,0,2,0,0,0,0,0
142,66,9,0,0,2,0,0,0,0,0
143,86,5,0,0,2,0,0,0,0,0
144,82,8,0,0,1,0,0,0,0,0
145,83,11,0,0,0,0,0,0,0,0
146,87,9,0,0,0,0,0,0,0,0
147,81,8,0,0,0,0,0,0,0,0
148,75,12,0,0,0,0,0,0,0,0
149,97,12,0,0,0,0,0,0,0,0
150,100,23,0,0,30,0,0,0,0,0
151,79,10,0,0,16,0,0,0,0,0
152,76,7,0,0,25,0,0,0,0,0
153,82,14,0,0,21,0,0,0,0,0
154,81,18,0,0,12,0,0,0,0,0
155,66,14,0,0,20,0,0,0,0,0
156,67,12,0,0,9,0,0,0,0,0
157,72,12,0,0,18,0,0,0,0,0
158,66,17,0,0,9,0,0,0,0,0
159,80,20,0,0,14,0,0,0,0,0
160,89,13,0,0,8,0,0,0,0,0
161,105,22,0,0,10,0,0,0,0,0
162,67,20,0,0,3,0,0,0,0,0
163,89,19,0,0,12,0,0,0,0,0
164,82,15,0,0,12,0,0,0,0,0
165,64,19,0,0,5,0,0,0,0,0
166,77,23,0,0,11,0,0,0,0,0
167,61,18,0,0,3,0,0,0,0,0
168,64,9,0,0,2,0,0,0,0,0
169,68,18,0,0,2,0,0,0,0,0
170,64,16,0,0,4,0,0,0,0,0
171,60,20,0,0,6,0,0,0,0,0
172,74,15,0,0,3,0,0,0,0,0
173,77,17,0,0,7,0,0,0,0,0
174,73,16,0,0,6,0,0,0,0,0
175,61,24,0,0,3,0,0,0,0,0
176,65,23,0,0,6,0,0,0,0,0
177,65,33,0,0,3,0,0,0,0,0
178,89,17,0,0,4,0,0,0,0,0
179,79,22,0,0,5,0,0,0,0,0
180,61,24,0,0,9,0,0,0,0,0
181,79,23,0,0,4,0,0,0,0,0
182,54,31,0,0,5,0,0,0,0,0
183,61,28,0,0,2,0,0,0,0,0
184,60,29,0,0,4,0,0,0,0,0
185,72,30,0,0,5,0,0,0,0,0
186,83,36,0,0,6,0,0,0,0,0
